       0.0372142        0.045882       0.0439331       0.0595612       0.0379304
       0.0371147       0.0428206       0.0492127       0.0542702       0.0379262
       0.0435303       0.0402093       0.0429734       0.0579278       0.0354106
       0.0397496       0.0403388       0.0353896       0.0546757       0.0399263
        0.045601       0.0390444       0.0495288       0.0484039       0.0391923
       0.0426423       0.0489664        0.044637       0.0397765       0.0304937
       0.0406943       0.0459122       0.0451639       0.0425164       0.0444045
       0.0477186       0.0430075       0.0439124       0.0496137       0.0492743
       0.0414357        0.058065       0.0408271       0.0496833       0.0400521
       0.0534504       0.0442966       0.0400765       0.0321562       0.0359896
       0.0388759       0.0363787       0.0419306       0.0401308       0.0365867
       0.0340963       0.0519012       0.0420365       0.0394295       0.0438147
       0.0417649       0.0423282       0.0463065       0.0449869       0.0405812
       0.0399239       0.0480226       0.0457648       0.0597362       0.0429371
        0.031942       0.0347615       0.0542257       0.0540377        0.040508
       0.0491018       0.0432115       0.0422121       0.0437004        0.046424
       0.0452099       0.0388339       0.0450783       0.0392058       0.0522591
       0.0534318       0.0373697       0.0484464       0.0350564       0.0461463
       0.0490804       0.0363996       0.0318037       0.0445334        0.036502
       0.0379148       0.0394621       0.0407386       0.0398189       0.0399012
       0.0405941       0.0462293       0.0341672       0.0333694       0.0397856
        0.035454       0.0355222       0.0408399       0.0483799       0.0403948
       0.0384814        0.041473        0.037037       0.0454914       0.0349188
       0.0404768       0.0434891       0.0522545       0.0569527       0.0446785
       0.0327685       0.0446546       0.0433153        0.057983       0.0431562
       0.0371086       0.0424379       0.0492381       0.0494692       0.0483584
       0.0507175       0.0383833       0.0458426       0.0487893       0.0349693
