         21.8541         21.4254         22.6936         22.2416          19.251
         36.2835         38.4174         38.0053         35.0953         33.6366
         63.2084         58.7475         59.1293         58.8937          57.721
         55.9852         56.8258         55.6087         64.1899         57.2476
         61.2563         63.7487         60.6753         63.6738         64.7529
         26.1212         28.4193         29.0087         26.5273         29.2992
         36.2354         33.3171         33.7973          31.334         32.2163
         20.7024          26.142         23.1404         20.8416         17.5451
         15.5957         9.53448         15.2804         19.9566         21.6073
         25.1347         21.0633         22.9606         23.4402         27.6143
         7.05177         8.13983         8.69999           5.164         7.50992
         9.76273         7.29159         9.01837         7.34008          8.3356
         13.9206         12.0979         16.5423         14.6662         13.0984
         7.67518         12.2071         10.5971           9.843         9.35023
           13.18         14.5574         12.5472         16.7744         14.2966
         14.7882         14.9705         12.3891         13.8412         11.9776
         7.29069         7.83832         6.34816         8.08209         6.38245
         12.3765         9.86325         6.92762         8.86432         9.46568
           21.87         20.4563         21.1403         21.0268         18.5255
         11.4478         14.8003         12.0239         12.2691         12.1237
         1.76273         2.18094         3.99977          2.9887         3.31161
         7.73085         4.80495         6.46457         4.29461         7.19763
         9.16432          10.023         14.7568          12.085         13.3787
         7.00438         4.33372         3.88761         6.47262          7.8187
         4.28937         3.98996         6.17997         6.68502         4.62456
         7.21554         5.95324         6.18468         5.34295         9.07806
          1.4089         1.55572         2.26343         2.11656         2.90436
          8.1865         7.26716         8.55106         9.33047         9.67483
         3.52864         4.37126         2.94452         3.57667         2.32302
         1.73161        0.992055          2.8864         3.77406         1.73473
         11.7827         8.91016         11.0024         9.54392         6.66334
         3.37134         2.20374         3.31287         2.56621          2.6978
         2.40804         1.90305         3.81966         2.14886         1.32409
         3.87705         3.56002         3.78898          4.1569         2.56532
         1.70496         1.76166         2.17747        0.821648         1.38329
         1.38216        0.400373        0.959505        0.458491         0.30952
         1.95071          2.0184         1.50609         1.36844         1.22251
         3.51125         3.57494         1.89472         4.13122         3.57592
